,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Watford_6261,36,18,9,1,3,4,4,53,31,1,5,27,6,22,259,64
TottenhamHotspur_6262,64,11,22,9,7,8,2,26,11,3,5,20,10,26,583,86
LeicesterCity_6263,31,8,14,8,4,5,None,62,37,6,2,47,8,29,281,57
ManchesterCity_6322,69,10,20,6,8,7,1,19,11,1,5,33,15,20,644,86
Southampton_6335,47,8,14,3,8,5,1,33,14,2,3,19,9,30,432,81
ManchesterUnited_6268,67,8,27,9,10,15,3,31,19,0,8,26,9,24,617,88
StokeCity_6268,53,15,13,8,4,6,1,40,20,2,0,26,24,21,435,78
LeicesterCity_6268,48,10,18,6,9,10,1,44,17,3,3,27,8,18,396,72
Watford_6268,45,15,21,4,11,6,3,47,27,7,6,34,6,24,252,60
WestBromwich_6268,50,7,12,2,5,5,0,49,13,2,5,26,2,39,369,72
SwanseaCity_6268,70,6,24,7,14,9,2,47,21,2,2,9,21,29,578,86
Liverpool_6268,54,8,21,6,8,9,1,43,18,2,6,24,9,19,455,76
TottenhamHotspur_6269,51,9,21,7,5,7,1,30,19,2,8,22,10,31,453,80
SunderlandA.F.C_6269,28,12,13,4,5,6,1,22,9,5,3,35,10,22,288,70
WestHamUnited_6270,52,8,11,2,6,6,0,38,20,2,3,27,10,21,558,83
ManchesterCity_6272,65,8,12,1,7,8,1,36,15,2,4,32,15,26,626,82
BournemouthAFC_6275,52,20,21,9,8,5,4,37,20,5,4,33,15,23,355,76
Everton_6275,63,8,16,4,6,4,1,36,14,2,5,22,7,20,599,82
HullCity_6275,50,14,15,7,3,2,3,35,15,2,5,17,7,16,377,77
Liverpool_6276,65,12,10,3,2,11,2,59,25,0,5,7,6,20,564,75
Middlesbrough_6321,49,15,6,2,3,3,3,70,29,4,1,23,8,23,397,71
Arsenal_6321,69,9,13,5,6,12,2,48,29,3,1,14,10,20,691,87
CrystalPalace_6321,32,13,6,1,2,2,3,44,21,3,3,37,8,15,271,58
Chelsea_6340,47,7,24,9,7,8,2,21,14,0,8,41,16,17,457,84
Southampton_6342,53,7,17,6,7,7,2,26,14,1,4,18,13,15,483,82
WestBromwich_6282,23,5,12,8,3,4,1,32,13,1,1,24,10,21,219,59
WestHamUnited_6282,59,10,20,7,8,6,0,50,34,2,5,28,13,25,478,82
CrystalPalace_6282,43,8,8,1,5,3,0,42,21,2,2,26,13,19,285,67
Everton_6282,51,9,14,8,4,5,2,23,8,0,2,20,9,30,454,81
StokeCity_6282,36,16,5,1,2,5,5,29,13,5,2,34,10,22,294,66
SunderlandA.F.C_6282,44,14,14,5,7,3,3,57,28,3,2,23,5,19,287,64
BournemouthAFC_6282,48,10,12,6,4,2,0,24,8,1,2,29,13,21,448,80
Middlesbrough_6283,64,9,8,1,4,8,1,41,20,3,3,27,13,22,555,83
TottenhamHotspur_6283,51,12,12,6,2,5,3,24,11,2,4,20,9,27,459,75
ManchesterCity_6283,60,14,14,3,8,9,3,26,9,3,2,36,18,20,562,87
Liverpool_6296,51,17,10,6,1,2,1,55,28,3,3,39,18,20,468,78
ManchesterUnited_6296,75,15,18,3,8,6,3,28,15,1,7,24,11,19,762,88
Burnley_6296,38,9,13,2,6,3,2,43,23,5,5,34,4,23,347,71
Chelsea_6296,73,12,24,11,5,9,3,27,10,1,8,33,10,27,610,87
HullCity_6296,45,16,8,3,3,5,2,29,10,3,1,31,5,28,383,67
LeicesterCity_6296,48,7,23,10,7,10,1,67,25,2,6,31,8,18,393,71
Watford_6296,56,12,23,10,5,13,1,44,21,3,8,20,9,14,381,82
Southampton_6296,61,14,15,4,8,6,1,37,18,3,2,12,10,24,552,83
SwanseaCity_6297,55,9,15,3,6,11,2,44,23,1,6,27,10,30,416,80
Arsenal_6297,44,8,8,3,5,3,3,29,13,3,0,38,15,17,408,76
Burnley_6299,48,9,7,3,1,3,3,75,35,2,3,25,9,21,369,66
LeicesterCity_6299,54,12,19,8,5,5,0,48,22,3,6,14,4,27,396,78
Watford_6299,55,11,9,2,3,5,3,29,13,2,4,30,6,22,438,84
ManchesterUnited_6299,61,10,20,3,8,6,1,24,12,3,7,26,12,18,581,85
Southampton_6300,61,16,25,9,12,11,2,39,14,2,4,17,8,22,397,82
SwanseaCity_6300,28,7,4,1,2,5,1,28,11,5,1,23,11,25,239,69
HullCity_6300,48,13,17,5,7,8,2,54,19,2,5,15,12,23,392,77
Arsenal_6300,66,11,21,8,7,5,2,28,15,2,6,35,16,18,678,87
Liverpool_6300,67,11,20,8,9,7,1,39,21,0,3,36,15,30,579,85
Chelsea_6300,40,10,10,4,3,2,1,28,16,6,3,33,9,17,403,76
TottenhamHotspur_6303,57,12,21,6,5,7,0,18,12,2,8,38,14,27,498,87
