,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Darmstadt_6296,40,15,11,1,8,4,4,42,18,6,2,21,8,12,348,72
BorussiaMonchengladbach_6296,37,12,6,1,3,1,4,31,19,4,2,33,11,24,346,73
FSVMainz_6297,56,26,10,1,6,4,3,59,25,3,3,14,7,24,349,74
VfLWolfsburg_6297,57,14,19,9,7,10,2,53,23,2,2,34,6,22,421,75
EintrachtFrankfurt_6299,64,20,12,2,6,5,2,32,17,0,3,21,7,30,559,83
Schalke_6299,60,19,14,3,7,3,2,39,15,3,4,16,7,22,573,84
BayernMunchen_6299,64,12,22,6,8,9,1,27,15,3,7,33,12,18,585,84
HamburgerSV_6299,39,12,16,6,9,4,3,30,13,7,1,39,11,26,372,75
Ingolstadt_6300,44,13,13,6,6,5,2,47,27,3,1,13,9,28,380,63
SCFreiburg_6300,35,16,16,5,7,3,1,59,22,4,4,26,6,21,320,64
HerthaBerlin_6300,40,12,13,2,7,4,1,48,15,6,3,30,5,22,436,75
RBLeipzig_6300,57,20,15,7,6,3,4,55,36,1,2,47,10,23,408,75
BayerLeverkusen_6300,60,13,14,7,3,8,2,39,27,2,4,33,10,26,530,81
WerderBremen_6302,38,8,8,4,1,1,2,46,28,5,3,28,7,26,345,68
VfLWolfsburg_6303,44,10,19,1,9,1,2,29,16,3,8,22,4,20,387,82
BayerLeverkusen_6303,46,12,14,3,8,2,1,32,13,4,3,21,13,32,408,72
FSVMainz_6303,59,14,9,3,5,6,3,51,28,2,1,18,8,34,489,71
TSGHoffenheim_6303,59,22,13,4,6,4,4,57,34,3,2,33,5,22,420,77
BorussiaMonchengladbach_6303,74,10,16,7,6,6,2,38,22,0,3,20,10,21,722,88
BorussiaDortmund_6303,29,10,9,3,5,3,3,16,5,2,1,37,7,11,321,80
Augsburg_6304,46,20,5,0,3,0,2,43,22,6,2,34,5,20,436,78
Darmstadt_6304,40,11,10,5,3,2,2,47,16,7,2,25,6,23,298,67
EintrachtFrankfurt_6310,35,23,9,2,6,1,None,42,15,4,1,28,3,28,296,60
FCKoln_6310,64,17,13,1,10,8,3,44,24,4,2,20,5,25,520,78
BorussiaMonchengladbach_6310,51,20,11,4,3,1,4,20,6,4,3,39,6,17,503,86
SCFreiburg_6310,45,13,11,2,5,0,2,50,31,2,4,26,6,24,419,70
Ingolstadt_6310,44,17,6,3,2,4,3,43,24,3,1,12,3,21,375,69
HerthaBerlin_6310,48,18,6,2,2,3,3,64,34,3,2,28,10,28,443,67
BayernMunchen_6310,72,12,21,6,11,4,0,24,14,2,4,36,17,26,746,89
