,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Villarreal_5920,38,17,15,6,6,4,8,15,7,4,3,29,10,11,323,79
Valencia_5920,48,14,14,4,9,4,1,40,15,4,1,41,11,24,421,76
RealMadrid_5920,59,10,26,12,7,8,2,15,10,4,7,34,8,13,585,89
RayoVallecano_5932,53,10,16,7,5,9,4,33,13,3,4,33,11,30,335,75
AtleticoMadrid_5933,50,14,19,12,5,5,1,30,19,4,2,34,12,27,429,77
LasPalmas_5933,62,8,13,6,5,8,2,23,9,3,2,25,13,26,549,84
FCBarcelona_5933,65,17,13,3,7,4,3,12,7,4,4,23,9,12,685,90
CeltaVigo_5933,61,15,9,2,5,11,4,25,10,2,2,22,5,36,509,79
AthleticBilbao_5934,52,16,8,1,5,13,2,31,19,1,2,24,8,35,411,81
Malaga_5934,63,14,11,5,4,5,2,35,17,0,2,19,9,23,525,79
Eibar_5934,52,15,10,3,2,4,3,30,14,2,5,33,8,29,448,71
Sevilla_5934,62,22,15,6,5,8,4,34,20,1,4,25,6,30,508,80
Levante_5935,59,17,16,4,8,4,6,57,34,1,4,25,8,33,412,71
GranadaCF_5939,51,14,7,0,7,5,1,30,14,2,4,27,7,26,395,75
RealMadrid_5940,57,9,15,6,9,6,1,33,22,2,1,36,4,18,519,85
RCDEspanyol_5940,54,13,8,4,4,3,2,41,22,2,1,30,5,24,426,77
RealSociedad_5940,29,14,5,1,4,5,1,30,15,6,1,27,4,23,241,62
RealBetis_5940,49,13,7,1,6,4,4,46,18,3,2,38,7,20,443,78
SportingGijon_5941,44,8,9,2,6,7,2,31,12,4,1,41,3,21,310,68
Valencia_5941,50,15,21,10,11,10,2,32,15,3,3,14,6,22,363,81
Villarreal_5941,53,9,13,3,7,8,2,38,19,3,3,23,7,28,435,75
AthleticBilbao_5941,46,8,14,7,6,0,1,29,19,4,1,30,10,27,410,71
DeportivoLaCoruna_5942,42,8,19,5,11,7,1,36,21,3,3,33,5,8,382,77
Levante_5946,50,10,12,4,4,4,5,44,18,1,4,22,8,32,388,72
Getafe_5947,38,10,12,5,4,5,4,9,3,6,3,31,12,17,307,80
LasPalmas_5947,51,11,10,4,6,3,2,24,7,1,0,28,11,17,517,83
Eibar_5947,44,16,9,4,2,2,3,32,17,3,3,41,5,34,345,62
CeltaVigo_5947,64,14,18,5,9,12,4,28,13,3,4,27,10,20,566,84
Malaga_5948,51,13,17,7,5,8,3,47,19,2,5,19,5,28,364,67
Sevilla_5948,60,15,12,3,8,10,2,29,15,3,1,12,11,27,494,84
RayoVallecano_5948,60,14,14,6,3,4,2,25,13,1,5,25,2,26,554,82
AtleticoMadrid_5948,55,16,8,3,4,4,3,35,18,None,1,43,8,20,504,79
FCBarcelona_5948,65,12,22,7,6,7,3,19,12,1,9,26,16,30,633,85
RCDEspanyol_5950,40,15,8,3,3,2,1,32,20,0,2,33,9,28,380,71
RealBetis_5950,51,14,20,6,10,6,2,33,16,0,4,23,6,13,443,84
DeportivoLaCoruna_5951,39,11,16,5,7,6,1,11,7,2,4,21,6,17,364,81
Malaga_5951,51,19,12,4,5,7,1,53,32,3,3,27,10,31,374,74
AthleticBilbao_5951,63,9,12,6,3,8,None,24,14,1,3,34,4,23,588,84
Valencia_5951,50,10,9,6,3,6,1,25,15,2,0,18,10,16,415,82
SportingGijon_5951,46,7,14,2,8,5,2,21,11,7,4,25,5,19,393,76
RealMadrid_5951,59,9,20,6,9,11,2,10,7,2,5,17,15,25,692,87
RealSociedad_5952,63,10,14,5,5,8,2,26,14,1,4,34,11,28,481,80
GranadaCF_5952,45,16,13,6,3,3,6,23,10,4,4,20,12,16,357,79
LasPalmas_5953,59,14,12,7,5,5,4,16,12,5,3,28,18,26,576,87
RayoVallecano_5954,41,15,11,6,4,4,6,26,10,3,3,44,7,20,340,73
AtleticoMadrid_5954,49,6,14,4,8,10,3,31,16,4,3,34,12,32,361,70
FCBarcelona_5954,66,11,24,10,15,6,0,21,15,3,3,16,13,32,698,89
Eibar_5954,50,14,9,2,2,11,0,39,19,0,2,20,4,24,404,65
Levante_5955,37,13,10,5,3,4,2,30,13,6,2,23,12,16,285,66
Sevilla_5955,55,25,13,3,7,8,5,41,22,2,3,28,9,25,375,74
