,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
Burnley_5450,42,2,4,4,7,8,1,13,2,5
Sunderland_5450,53,0,2,0,5,2,1,17,0,6
WestBrom_5450,59,1,1,2,7,2,0,11,0,8
Everton_5450,48,0,0,7,6,1,2,11,0,5
Swansea_5451,41,2,2,1,4,0,0,8,2,9
Leicester_5451,28,3,2,0,8,1,1,8,0,7
ManchesterUnited_5452,47,1,1,0,8,0,0,8,1,3
AstonVilla_5457,59,0,0,2,8,2,0,12,2,5
WestHam_5457,43,6,3,1,8,2,1,6,0,9
ManchesterCity_5457,66,3,2,1,11,0,2,9,1,6
StokeCity_5457,58,2,0,1,3,3,0,16,1,2
HullCity_5457,38,0,5,1,6,2,1,7,0,5
Southampton_5457,56,2,2,1,10,1,1,12,0,9
NewcastleUtd_5457,43,2,1,1,9,2,1,8,0,6
Liverpool_5458,45,4,1,2,10,4,1,14,0,4
Tottenham_5458,47,1,1,1,4,2,0,14,1,10
QPR_5459,40,1,3,1,5,3,2,12,1,6
CrystalPalace_5464,31,1,2,1,10,4,0,7,0,3
Leicester_5464,46,2,0,1,3,2,1,15,0,7
Burnley_5464,32,1,3,0,4,2,3,9,1,7
Everton_5464,56,1,2,0,10,4,2,18,0,3
WestBrom_5464,53,5,1,1,13,5,1,17,2,4
Swansea_5464,45,1,2,2,7,3,4,10,1,7
ManchesterUnited_5464,64,2,2,1,3,2,1,14,0,3
Sunderland_5465,54,2,4,1,10,1,2,14,2,7
Arsenal_5465,36,1,1,0,3,2,1,9,2,8
Chelsea_5466,59,1,3,1,4,3,0,14,1,2
WestHam_5470,27,0,2,0,4,1,1,5,4,7
ManchesterCity_5470,59,5,1,0,7,1,2,10,2,5
AstonVilla_5470,56,0,3,0,8,0,0,3,0,6
HullCity_5470,56,1,2,1,5,0,0,11,2,3
NewcastleUtd_5470,31,2,0,1,8,3,1,7,1,3
Tottenham_5470,56,2,1,1,4,1,3,16,3,6
StokeCity_5470,39,2,3,1,6,1,2,14,2,8
Southampton_5470,56,3,3,0,6,2,2,9,2,6
Liverpool_5470,47,2,1,1,2,1,1,13,0,3
QPR_5470,31,0,1,2,5,1,0,13,2,9
ManchesterUnited_5472,55,5,0,1,6,4,5,14,1,7
Chelsea_5472,57,1,0,0,10,4,1,12,0,9
Arsenal_5472,45,2,0,3,7,5,1,12,1,6
WestBrom_5472,42,3,4,1,6,0,2,9,1,8
CrystalPalace_5472,48,1,3,0,6,2,0,17,1,7
Burnley_5472,38,1,3,0,10,1,1,8,1,5
Leicester_5472,38,2,0,0,5,1,1,14,2,5
Sunderland_5472,42,1,1,2,2,2,2,13,1,2
Everton_5472,42,1,3,1,7,1,1,6,0,4
Swansea_5473,53,1,2,0,4,0,0,10,5,2
ManchesterUnited_5476,64,1,1,0,5,4,1,6,0,6
WestBrom_5476,56,2,4,2,9,0,0,6,2,5
Arsenal_5476,60,4,1,1,7,2,0,18,2,4
Swansea_5476,55,2,5,4,10,2,1,10,1,2
Burnley_5476,42,1,3,1,3,0,0,11,1,5
Sunderland_5476,32,1,0,0,10,2,0,9,2,3
Leicester_5476,37,0,4,2,4,1,0,14,0,8
Everton_5476,59,1,1,0,12,3,1,9,3,5
CrystalPalace_5476,26,0,3,0,4,1,1,11,2,6
Chelsea_5476,53,1,4,2,5,0,0,17,2,5
Liverpool_5485,52,2,4,2,3,4,0,11,1,7
